date,action,ticker,shares,price_php,gross_php,fees_php,net_php,notes
2026-07-04,BASELINE,ALTER,124585,0.79,98422.15,,,opening balance carried into tracker — verify exact count against broker statement
2026-07-04,BASELINE,RCR,7817,7.30,57064.10,,,opening balance carried into tracker — verify exact count against broker statement
